screen_name,statuses
mrdanmenard,"['Brookhouse Residences – Plans, Availability, Prices https://t.co/KQkc0AXN9H', 'Hunter– Plans, Availability, Prices https://t.co/sORiVHmdSl', '752 Marine – Plans, Availability, Prices https://t.co/Vlzf9GneRK', 'Regan West – Prices, Availability, Plans https://t.co/9NzQVRn7pq', 'Why Your Germs Scare Me as Someone With Chronic Illness https://t.co/N7OZlUkcp8', 'Lion’s Gate Townhomes – Prices, Plans, Availability https://t.co/EOqhVs2nSq', 'When the ER Is Your Last Resort for Chronic Pain, and They Turn You Away https://t.co/ziCZiTMono', 'Tools for the Task: Vintage-Voiced P-Bass Pickups https://t.co/odz9Je8o2l', ""Endometriosis Is a Part of Me, but It Isn't Who I Am https://t.co/pCmksrTKIM"", '3 Ways You Can Turn Around a Bad Day With Chronic Illness https://t.co/iWH94FEuu1']"
med_equipment,
med_equipment,
STPHCareers,"['Join the St. Tammany Parish Hospital team! See our latest #job opening here: https://t.co/KXJexLqplq #Health… https://t.co/n7H4Hf1pHg', ""If you're looking for work in #Covington, LA, check out this #job: https://t.co/BtE0t8Mwmv #scrublife #nursing #Nursing #Hiring"", 'This #job might be a great fit for you: Surgical Tech/Sterile Processing Specialist - https://t.co/N5tR4NTYow… https://t.co/EocdQBgclr', 'Want to work in #Covington, LA? View our latest opening: https://t.co/0UVkeTbsQ7 #Healthcare #benefits #HRadmin #Job #Jobs #Hiring', 'See our latest #Covington, LA #job and click to apply: RN ICU Residency with Incentive for new grads -… https://t.co/x5KhFpygKc', 'See our latest #Covington, LA #job and click to apply: RN - Emergency - https://t.co/sJvGzgdAQx #Healthcare #Nursing #Hiring', ""Want to work at St. Tammany Parish Hospital? We're #hiring in #Covington, LA! Click for details:… https://t.co/qC4hvIdWnp"", 'Can you recommend anyone for this #job in #Covington, LA? https://t.co/T4kYBof62S #scrublife #nursing #Nursing #Hiring', ""Want to work at St. Tammany Parish Hospital? We're #hiring in #Covington, LA! Click for details: https://t.co/fBqze5rkHT #Nursing #Job #Jobs"", 'Interested in a #job in #Covington, LA? This could be a great fit: https://t.co/t8uKOYDnsf #scrublife #nursing #Healthcare #Hiring']"
ali1m,"['@GermanyinUSA @ojusher familiar?', '@ga5manwilliams 😎', '@ga5manwilliams Oh you haven’t muted me yet? More fool you', '@ga5manwilliams Dolly Partum had a perm', '@GarethiwanJames @aml1384 @hypoxicchicken @GongGasGirl @iGas2 I work in the west of Scotland. What are ASA I and II?', ""That's one good thing about the King Air, there's always time to eat a sandwich on the way to a job... https://t.co/WyEYG15eHe"", '@DyfrigH @BrowofJustice You can read the other relevant replies starting at https://t.co/jmqBqPxq7A']"
HassanMashbari,"['Amazing presentation from my friend and colleagues in France. Great job https://t.co/IQPw3G8Ul8', 'Do not miss this new educational resource.. https://t.co/ZN9jf4OMUM', 'To all my colleagues and friends. Thank you for your sleepless nights and hard work #HappyDoctorsDay @reality_of_Dr… https://t.co/c3PwZ8kw8S', 'Our new paper. “A Randomized Controlled Trial on Intra-Abdominal Irrigation during Emergency Trauma Laparotomy; Tim… https://t.co/W5e87I2rZi', '@DEYQ1986 @bqalenazi اكيد.. retrospective observational', '@bqalenazi مع كل احترامي. معلومة غير صحيحة']"
TankaBar_JasonD,"['@LakotaLeo @UNILAD I did so well for so long I was bound to slip up some time. Thanks for letting me know', '@LakotaLeo @UNILAD thanks', 'Jay And Silent Bob’s Kevin Smith &amp; Jason Mewes coming to The Flash https://t.co/ahtqfNmfFu', 'A Censored Sculpture of Imprisoned Native American Activist Leonard Peltier Has Taken Up Residence in L.A.… https://t.co/FVqeuIu6qK', 'Trump not planning to ship Native Americans to India - ABC News - https://t.co/wFWX39ehoQ via @ABC', ""How Might Trump's Food Box Plan Affect Health? Native Americans Know All Too Well https://t.co/NFY02Jaav7"", ""Blood Avocados No More: Mexican Farm Town Says It's Kicked Out Cartels https://t.co/r5DyEseJuq""]"
DrCAlexanderFer,"['We check #vitaminD levels on all our #PCOS patients #DrCAlexanderFer @scrcivf https://t.co/9nH2sj53z0', 'Seeing the first heart beat after successful #embryotransfer is phenomenal #DrCAlexanderFer @scrcivf https://t.co/TMs5ONnpUj', 'amazing work, fight #ovariancancer https://t.co/dVKgXoaxeL', 'We give compassionate, individualized care #DrCAlexanderFer @SCRCivf https://t.co/oZpifdnPqg']"
roach_hope,"['@ashleyjaderoach tis true 👀', 'Cardi B my girl 😏', 'yo nana, you really think they’re gonna drop the price on this beaut? 🤷🏼\u200d♀️💀 https://t.co/kCNXhkyIPX', '@quentinstacy23 I knew it 😘', '🖕🏼 @quentinstacy23 just in case ya miss me 🤗']"
DoxYs_,"['@calciomio Qui va faire la bonne affaire du coup.', ""@MarcoPastore99 @Footballogue Va taffer à l'Equipe, t'as des informations que personne ne semblent avoir sauf toi d… https://t.co/EO2BANDW3D"", ""@MarcoPastore99 @Footballogue C'est bien la preuve de votre incroyable mentalité de merde... Traiter de loser un me… https://t.co/XfXpwXT1AN"", '@MilanEye We are so rich !', '@SerieAFFC @VieriCapretta @MPolitano16 @douglascosta @gigiodonna1 @acmilan @ASRomaEN @CagliariCalcio… https://t.co/pIL4hCnSwj', ""@lucabalbe @acmilan_fra C'est vrai qu'ils ont tous le temps de se faire des calins à ce moment du match alors que… https://t.co/eRfS5Bc0ZD"", '@calciomio ""’Argentin s’est montré à la hauteur de la rencontre et semble bien plus à l’aise dans une défense à 3 q… https://t.co/vxIgdQ6hRd', ""@acmilanfrance1 Milan pour la fin de série, mais le Torino c'est vraiment costaud depuis quelques matchs. (Puis mêm… https://t.co/QMd4RgpO9l"", '@Footballogue Emery connait son destin à la fin de la saison alors pourquoi se plier aux exigences de Nasser qui ne… https://t.co/QD08f9YKi7', '@Romino_7 Ils ont juste du compter le nombre de ses centres, ils ont pas eu de place pour  lui mettre un 4.']"
